00000839 FAIR FIELD           004 11-05-1846 233 
00000840 PETER HATTRICK       004 06-15-1846 105 
00000841 DEVONSHIRE           004 04-10-1846 277 
00000842 ADIRONDACK           046 04-11-1846 189 
00000843 QUEEN OF THE WEST    004 04-11-1846 442 
00000844 HENRY CLAY           004 04-15-1846 147 
00000845 EUROPE               004 06-15-1846 242 
00000846 A. LAWRENCE          004 04-17-1846 124 
00000847 NONANTUM             004 04-18-1846 219 
00000848 DEVONSHIRE           004 11-06-1846 303 
00000850 BROTHERS             053 04-23-1846 196 
00000855 OXFORD               004 04-25-1846 271 
00000856 PATRICK HENRY        004 04-25-1846 264 
00000857 JAVA                 004 04-27-1846 207 
00000858 GREAT WESTERN        004 04-28-1846 014 
00000865 SEA KING             004 04-29-1846 174 
00000868 VENICE               004 04-30-1846 236 
00000869 YORKSHIRE            004 07-08-1848 230 
00000870 ORPHAN               004 05-01-1846 268 
00000894 NEW YORK             004 11-06-1846 267 
00000895 JOHN R. SKIDDY       004 07-01-1846 380 
00000897 WAGRAM               061 11-06-1846 005 
00000900 RAPPAHANOCK          004 11-11-1846 357 
00000901 JUNIUS               004 05-01-1846 116 
00000902 SHERIDAN             004 05-07-1846 271 
00000903 SHANANGA             004 05-01-1846 159 
00000906 PANTHEA              004 05-04-1846 230 
00000908 MEDIATOR             061 05-04-1846 005 
00000909 BELFAST              142 05-05-1846 002 
00000910 JANE                 004 05-05-1846 242 
00000912 RELIANCE             004 05-06-1846 289 
00000913 MACEDONIA            004 05-07-1846 158 
00000915 AGNES GILMORE        004 05-07-1846 065 
00000916 CAMBRIDGE            004 05-08-1846 277 
00000917 SARACEN              006 05-08-1846 008 
00000918 ROCHESTER            004 05-08-1846 269 
00000919 THOMAS               004 05-11-1846 243 
00000921 ATLAS                004 05-11-1846 259 
00000923 OTTOWA               004 05-12-1846 290 
00000926 JOHN CLARK           004 05-14-1846 311 
00000927 ARABELLA             004 05-14-1846 265 
00000928 MONTEAUMA            004 05-15-1846 350 
00000929 ALHAMBRA             059 06-01-1846 192 
00000931 NEW HAMPSHIRE        004 11-12-1846 173 
00000932 GARRICK              004 06-01-1846 355 
00000940 ATLAS                004 09-16-1846 017 
00000943 ROSCIUS              004 06-15-1846 222 
00000945 GREAT WESTERN        004 06-15-1846 043 
00000947 MAINE                004 06-01-1846 224 
00000948 JOHN ROBERT          004 06-01-1846 200 
00000949 ADIRONDACK           004 09-01-1846 264 
00000950 REGULUS              004 06-16-1846 089 
00000951 JOHN CAMPBELL        004 06-16-1846 208 
00000952 LAUREL               004 06-11-1846 322 
00000953 FIDELIA              004 06-01-1846 344 
00000954 LADY HUNTLEY         004 06-01-1846 197 
00000956 SWITZERLAND          061 09-04-1846 001 
00000957 SARACEN              006 09-04-1846 023 
00000958 ST. GEORGE           004 08-03-1846 184 
00000959 WATERLOO             004 06-01-1846 214 
00000960 AVALANCHE            061 08-03-1846 002 
00000962 ANN HARLEY           006 08-03-1846 006 
00000963 SAMUEL HICKS         004 09-04-1846 013 
00000964 LOUISA               050 06-16-1846 092 
00000965 EMPIRE               004 06-17-1846 415 
00000967 BROOKSBY             006 06-01-1846 164 
00000968 BROOM                004 06-01-1846 332 
00000973 ESPINDOLA            004 06-01-1846 272 
00000974 ST. PATRICK          004 09-05-1846 003 
00000975 LIVERPOOL            004 06-18-1846 197 
00000976 BALTIC               058 06-17-1846 005 
00000977 PLANTER              148 06-18-1846 001 
00000979 RELIANCE             071 09-07-1846 002 
00000980 SOUTH CAROLINA       004 09-07-1846 062 
00000981 MEDIATOR             061 09-10-1846 035 
00000982 ISABELLA             004 09-11-1846 132 
00000984 HELEN                004 09-11-1846 234 
00000986 ROCHESTER            004 09-11-1846 052 
00000987 MARY HARRINGTON      003 06-02-1846 177 
00000988 STEPHEN WHITNEY      004 08-10-1846 265 
00000989 HARRIET AND JESSIE   004 06-19-1846 132 
00000990 ARABIAN              004 06-19-1846 213 
00000992 JOHN GARROW          004 06-02-1846 225 
00000993 ALERT                046 06-03-1846 135 
00000995 OCEAN QUEEN          004 08-10-1846 268 
