occupation_code,occupation_desc,occupation_code_norm
SURVEYOR,....,SURVEYOR
SVMKR,Shw,SVMKR
SVNT,Chrmkr,SVNT
SWF,Swr,SWF
SWP,Svyr,SWP
TABLE,Maker,TABLE
TALCH,Tlsmn,TALCH
TALISMAN,Tailor/Tailoress,TALISMAN
TALLON,Chandler,TALLON
TALLOW,Chandler,TALLOW
TAVERNER,Tanner,TAVERNER
TBCL,Tipwk.R,TBCL
TBCMCHT,Tbcmnftr,TBCMCHT
TBMR,Trm,TBMR
TCHR,Ttr,TCHR
TCHRL,Languages,TCHRL
TDLR,Tvn,TDLR
TEA,Dealer,TEA
TEACHER,Teacher Of,TEACHER
TENDER,Frame,TENDER
TENTER,Teamster Telegraph ·Tenor,TENTER
TERRACE,Maker,TERRACE
THEOLOGY,Tessitore Theatrical Theological,THEOLOGY
THF,Thprof,THF
THREAD,Thief Maker,THREAD
THST,Student,THST
TILE,' Maker,TILE
TILLER,Tiles,TILLER
TIMBER,... Merchant,TIMBER
TIN,Tinker Maker,TIN
TINNER,Tinman,TINNER
TINPLATE,Tinsmith Worker,TINPLATE
TKR,Tmbmcht,TKR
TLM,Tbcmcht,TLM
TLR,Tbmk,TLR
TLRW,Wggm Maker,TLRW
TMCTR,Til,TMCTR
TNI,Tuner,TNI
TNM,Tnmk,TNM
TNR,(Tanner),TNR
TNSTH,Tir,TNSTH
TNT,Tn,TNT
TOBACCO,Manufacturer,TOBACCO
TPF,Twt,TPF
TPS,Tpgph,TPS
TR,Tilm,TR
TRADE,Tobacconist Toolmaker Tourist · Man,TRADE
TRAINER,Trader,TRAINER
TRD,Ndl\.F',TRD
TRDM,Tt,TRDM
TRIMMER,Traveler Treasurer,TRIMMER
TRIMMING,Maker,TRIMMING
TRMM,Trmr,TRMM
TRNR,.Trd,TRNR
TRSR,Fui.Mlr,TRSR
TTDR,Tmkr,TTDR
TU,Tni,TU
TUBE,Truckman Maker,TUBE
TUNER,Instruments Of,TUNER
TURNER,Turner Fitter,TURNER
TW,Tuftr,TW
TWISTER,Cigar,TWISTER
TYPE,·Twister Founder 1Type Typeographer Sei'Ter,TYPE
UNDWRT,Uwrt,UNDWRT
UPHST,Undtkr,UPHST
US,Csl,US
USA,"Usa File, Record Size 130 . Lusa File, Record Size 130 .",USA
USNO,Officer,USNO
VALET,....,VALET
VAR,Val,VAR
VASE,Varnisher Maker,VASE
VCLT,Vsgn,VCLT
VELVET,Worker,VELVET
VET,Vender Veterinarian Surgeon,VET
VINEGAR,Victualler Maker,VINEGAR
VLT,Vs:Mkr,VLT
VNT,Vinm,VNT
VOCALIST,Vintner Violinlist,VOCALIST
WAGON,Wagoner/Wagon Maker,WAGON
WAITER,Waistcoat,WAITER
WALL,Waitress Cleaner,WALL
WARMER,Warehouse Warehouse Of,WARMER
WARP,Dresser,WARP
WASH,Warper Woman,WASH
WATERMAN,Watchmaker .Watchman,WATERMAN
WAX,Waterproof Maker,WAX
WDCDR,Wdcv,WDCDR
WDCTR,Wdmcht,WDCTR
WDMN,Wdctr,WDMN
WDTU,Wdrngr,WDTU
WEAVER,Canvas,WEAVER
WEIGHER,Weaver/Tessitore,WEIGHER
WGNR,Driver,WGNR
WGW,Wcptrs,WGW
WHARF,I,WHARF
WHEELER,Welder Weridrawer Wharf/Quay,WHEELER
WHLR,"Wid Worker Q,A",WHLR
WIDOW,"-,: Wheelright Whitesmith",WIDOW
WIFE,..... Ship'S Of,WIFE
WIGMAKER,Carpenter,WIGMAKER
WINE,Merchant,WINE
WIRE,Drawer,WIRE
WITT,Wiwkr,WITT
WIWVR,Widr,WIWVR
WLC,Wlcm,WLC
WLD,Wghr,WLD
WLDYR,Wldr,WLDYR
WLSR,Wlmcht,WLSR
WMCHT,Wgr,WMCHT
WMCTR,Labr,WMCTR
WMN,Lad Wc~,WMN
WMNFTR,Wls,WMNFTR
WOOD,Witt Carver,WOOD
WOOL,Merchant/,WOOL
WOOLEN,Manufacturer,WOOLEN
WORK,Founder Founder Of Iron,WORK
WORKER,Hair Of,WORKER
WORKERS,Suptrw,WORKERS
WRHSMN,Wlcr,WRHSMN
WRIGHT,Workman/Woman Cutter 'Worm,WRIGHT
WRITING,Writer Man,WRITING
WRPR,Wlw,WRPR
WRT,Wgt,WRT
WRTM,Wrt,WRTM
WSMH,Whr,WSMH
WTRPR,Wet Maker,WTRPR
WTRS,Wtr,WTRS
WVR,Term,WVR
YMN,-­,YMN
