occupation_code,occupation_desc,occupation_code_norm
CRMN,Cdr,CRMN
CRNM,Crmcht,CRNM
CROFTER,Cowboy,CROFTER
CRR,Ctyw,CRR
CRTRD,Crpm,CRTRD
CST,Scp,CST
CTHR,Clfn,CTHR
CTLH,Ctlmn Ctldlr •,CTLH
CTMNF,Ctndr,CTMNF
CTNB,Cot Lr,CTNB
CTNBYR,Ctnbrkr,CTNBYR
CTRV,Cmcl,CTRV
CTTR,Csl,CTTR
CTW,Crt,CTW
CTYM,".,F",CTYM
CTYMD,Cslr,CTYMD
CUOF,Cur,CUOF
CURGESS,Cultivator,CURGESS
CURRIER,Curer,CURRIER
CUSTOMS,"""' Official",CUSTOMS
CUTTER,C_Utler,CUTTER
CV,Cgrtw,CV
CVGLD,Cvr,CVGLD
CVS,Cver,CVS
DAIRYMAN,Dagurotypist,DAIRYMAN
DANCER,Dairymaid,DANCER
DANCING,Master/,DANCING
DARY,Dgrt,DARY
DEALER,Cattle Attendent C.A Ttle,DEALER
DEL,Dct,DEL
DELEGATE,Decorator,DELEGATE
DENTIST,Delver,DENTIST
DIACTR,Dsgr,DIACTR
DIAMOND,Designer Cutter,DIAMOND
DIE,Sinker,DIE
DIET,Maker,DIET
DIP,Dgr,DIP
DIPLOMAT,Digger,DIPLOMAT
DIVER,Director Distiller,DIVER
DLR,Dnc,DLR
DMK,Dsk,DMK
DMS,Phd Philosophy,DMS
DNCR,Darymd,DNCR
DNR,Dpr,DNR
DOCTOR,Divinity,DOCTOR
DRAFE,Domestic Donkeyman,DRAFE
DRAWER,Art,DRAWER
DRE,Dkymn,DRE
DRESSER,Dreiner,DRESSER
DRG,Drl Cchmn. (Coachman),DRG
DRILLER,Dressmaker,DRILLER
DRIVER,Car,DRIVER
DRSMKR,Drs,DRSMKR
DRUGGIST,Driver,DRUGGIST
DRY,Goods,DRY
DRYGDS,Drmr,DRYGDS
DRYGOODS,Drummer,DRYGOODS
DSTLR,Dtr,DSTLR
DT,Dlv,DT
DVSTDNT,Dir,DVSTDNT
DYR,Fysvnt,DYR
ED,Econ,ED
EDITOR,Economist,EDITOR
EEGNR,Engineer,EEGNR
EGG,Dealer,EGG
EGR,Gmcht (Engraver),EGR
EGS,Egd,EGS
ELPLR,Eln,ELPLR
EMEL,Elo,EMEL
ENGD,Embd,ENGD
ENGFTR,".,F",ENGFTR
ENGINE,Electnical Electrician Electroplater Elocutionist Embellisher Embroiderer Driver,ENGINE
ENGINEER,Ragman Railroader I Railroad/Locomotive,ENGINEER
ENTIRE,"Svnt 26 F 3 22, Record 263022 In",ENTIRE
ER,·­ Ca. T.. 'S,ER
ERG,Myr,ERG
EST,Eq,EST
ESTATE,Engraver Equestrian,ESTATE
EVNGT,Estagnt,EVNGT
EXB,Excv,EXB
EXHORTER,. Evangelist Excavator Exlfibition,EXHORTER
EXPORTER,~·,EXPORTER
EXPT,Exht,EXPT
FACTORY,Factor,FACTORY
FANCIER,Bfcr,FANCIER
FARMERS,Farmer,FARMERS
FARRIER,"Farmers Farmers, Mechanics Farmers, Merchants",FARRIER
FDRIW,Fdr,FDRIW
FGR,Fid,FGR
FIGURIST,Fiddler,FIGURIST
FINA,Fil,FINA
FINANCE,Filer,FINANCE
FIREMAN,F-Inisher Fire Insurance ..;:.,FIREMAN
FITTER,Furnace,FITTER
FLABR,Fhad,FLABR
FLESHER,... Flaxdresser,FLESHER
FLORIST,Flockmaker,FLORIST
FLSH,Flaxor,FLSH
FLST,Flc,FLST
FLTM,Fa,FLTM
FLWSLR,Flwmkr,FLWSLR
FMGR,", Fshk Mft..Ker",FMGR
FMLA,Fmr Laborers,FMLA
FMR,Crtr,FMR
FMSTWD,Fsvnt,FMSTWD
FOREMAN,Footman,FOREMAN
