job_name,job_code
WOOD CUTTER,WDCTR
WOOD MAN,WDMN
WOOD MERCHANT,WDMCHT
WOOD NAWER,WDCTR
WOOD RANGER,WDRNGR
WOOD TURNER,WDTU
WOOL,COMBER/
WOOL STAPLER,WLCM
WOOL CORDER,WLC
WOOL DRESSER,WLDR
WOOL DYER,WLDYR
WOOL,MERCHANT/
WOOL,DEALER/
WOOL DRAPER,WLMCHT
WOOL SORTER,WLSR
WOOL SPINNER,WLS
WOOLEN MANUFACTURER,WMNFTR
WORKER OF HAIR,WKRHR
'WORM,CUTTER
WRIGHT,WGT
WRITER,WRT
WRITING MAN,WRT
WRITING MASTER,WRTM
YEOMAN,YMN
