job_name,job_code
COTTON STRETCHER,CTNSTCR
COUCHMAN,COUM
COUNT NBL,(NOBILIT
COUNSELLOR,CSLR
COUNTRY MA.IDE,CTYMD
COUNTRY MAN,CTYM
COUNTRY WOMAN,CTYW
COURIER,CRR
COURT COUNSELLOR,CCLR
COWBOY,CB
CROFTER,CRTR
CULTIVATOR,FMR
CURGESS,CRG
CURER,CRR
CURRIER,CUR
"""' CUSTOMS OFFICIAL",CUOF
C_UTLER,CTL
CUTTER,QTR
DAGUROTYPIST,DGRT
DAIRYMAN,DARY
DAIRYMAID,DARYMD
DANCER,DNCR
DANCING MASTER/,DNC
DEALER,DLR
DECORATOR,DCT
DELEGATE (DEPUTY),DEL
DELVER,DLV
DENTIST,DT
DESIGNER,DSGR
DIAMOND CUTTER,DIACTR
DIE SINKER,DSK
DIET MAKER,DMK
DIGGER,DGR
DIPLOMAT,DIP
DIRECTOR,DTR
DISTILLER,DSTLR
DIVER,DIR
DIVINITY STUDENT,DVSTDNT
DOCTOR,DR
DOCTOR OF LAW,DRL'
DOCTOR OF PHILOSOPHY,PHD
DOMESTIC,DMS
DONKEYMAN,DKYMN
DRAFE,DRE
DRAFTSMAN/DRAU..G HTSMAN,DFTMN
DRAMATIC/DRAI-1ATIC,AR·(ACTOR)
"DRAPER/DEALER IN CLOTH,.",DPR
DRY,GOODS
DREINER,DNR
DRESSER,DRS
DRESSMAKER,DRSMKR
DRILLER,DRL
DRIVER CCHMN.,(COACHMAN)
DRUGGIST,DRG
DRUMMER,DRMR
DRYGOODS,DRYGDS
DYER,DYR
ECONOMIST,ECON
EDITOR,ED
EGG DEALER,EGD
EGG SORTER,EGS
ELECTNICAL ENGINEER,EEGNR
ELECTRICIAN,ELN
ELECTROPLATER,ELPLR
ELOCUTIONIST,ELO
EMBELLISHER,EMEL
EMBROIDERER,EMBD
ENGINE DRIVER,ENGD
ENGINEER,ENGR
"ENGINEERS, ROYAL",RCENGR
CORPS,OF
.ENGINE FITTER,ENGFTR
ENGINE KEEPER,ENKR
ENGRAVER,EGR
EQUESTRIAN,EQ
ESTATE,EST
ESTATE AGENT,ESTAGNT
EVANGELIST,EVNGT
EXCAVATOR,EXCV
EXlfIBITION,EXB
EXHORTER,EXHT
EXPORTER,EXPT
FACTOR,FT
FACTORY WORKER,FWKR
FAMILY SERVANT,FYSVNT
FA-BEER (DYER),DYR
FARM HAND,FHAD
FARM LABORER,FLABR
FARM SERVANT,FSVNT
FARM STEWARD,FMSTWD
FARMER,FMR
FARMERS & LABORERS,FMLA
FARMERS & MECHANICS,FRSMCS
"FARMERS, LABORERS &",FMLAMCS
"FARMERS, LABORERS,",FMµMEMCS
MERCHANTS &,MECHANICS
FARRIER,FRR
FATHER,FA
FELT MAKER,FLTM
FIDDLER,FID
FIGURIST,FGR
FILER,FIL
FINANCE AGENT,FINA
F-INISHER,FfWHR
FIRE INSURANCE MAN,FNSM
..;:. FIREMAN,FRMN
FIREWORKS MAN,FRWKMN
"FISH HOOK Mft..KER ,",FSHK
FISH MONGER,FMGR
FISHER MAN,F:SHMN
FI'I'T-ER ·,FTR
FLAXDRESSER,FLAXOR
FLESHER,FLSH
FLOCKMAKER,FLC
FLORIST,FLST
FLOWER MAKER,FLWMKR
FLOWER SELLER,FLWSLR
FOOTMAN,FTMN
FOREMAN,FRMN
FORESTER,FSR
FORGEMAN,FRG
FOUNDER,FDR
FOUNDER OF IRON WORK,FDRIW
FOUNDRYMAN,FYMN
FOYER,FY
"""FRAME MAKER",FRMKR
FRAME TENDER,FRTDR
FRAME WORK KNITTER,FWK
FRENCH POLISHER,JWLPLH
FRINGE MAKER,FRNGMR
FRUIT DEALER/SELLER,FRD
FRUIT GROWER,FFMR
FULLER,FUL
FULLING MILLER,FUI.MLR
FUND HOLDER,TRSR
FURNACE FITTER,FUFTR
FURNACE KEEPER,FUKP
FURNISHER,FNSHR
FURNITURE MAKER,FURNM
FURRIER,FUR
FUSTIAN CUTTER,FSCTR
GAMESKEEPER,GKPR
GARDENER/GROWER,GDNR
GASFITTER,GSF
GEOMETRE,GEOM
GENERAL AY,(ARMY)
GENT AGENT,GAGNT
GENTLEMAN,GENT
GERBER TNR,(TANN
GILDER,GLDR
GIRDLER,GRL
GLASS BLOWER,GLSBR
GLASS CUTTER,GLSCTR
GLASS FIXER,GLSFXR
GLASS GRINDER,GL~GDR
GLASS MAKER,GLSMKR
GLASS SELLER,GLSL
GLASSER,GLSR
GLAZIER,GZR
GLOVE CUTTER,GLVC
GLOVE MAKER,GLMK
GLOVER,GLVR
GLOW CUTTER,GLWC
GOATHERD,GTHD
~-· GOLDBEATER,GDBT
qoLD. _REFINER,GDRF
GOLDSMITH,GDSM
GOVERNESS,GVNS
GOVERNMENT SERVICES,GVTS
GRAIN MERCHANT,GMCHT
GRAVER EGR,(ENGRAVER)
